Record Length,5208,Points,-100.0000015E-3,1.0800000,,Record Length,5208,Points,-100.0000015E-3,1.1600001,,Record Length,5208,Points,-100.0000015E-3,2.4800003,,Record Length,5208,Points,-100.0000015E-3,2.6400001,,Record Length,5208,Points,-100.0000015E-3,520.000040531E-3,,Record Length,5208,Points,-100.0000015E-3,600.000023842E-3,,Record Length,5208,Points,-100.0000015E-3,2.4400001,,Record Length,5208,Points,-100.0000015E-3,2.5200002,
Sample Interval,38.40250065E-6,s,-99.961601198E-3,1.2400001,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,1.1600001,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,2.72000027,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,2.6400001,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,760.000050068E-3,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,600.000023842E-3,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,2.6800003,,Sample Interval,38.40250065E-6,s,-99.961601198E-3,2.5200002,
Trigger Point,2.6039973E3,Samples,-99.923193455E-3,1.0800000,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,1.1600001,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,2.4800003,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,2.5600002,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,520.000040531E-3,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,600.000023842E-3,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,2.4400001,,Trigger Point,2.6039973E3,Samples,-99.923193455E-3,2.6000001,
,,,-99.884793162E-3,1.2400001,,,,,-99.884793162E-3,1.2400001,,,,,-99.884793162E-3,2.72000027,,,,,-99.884793162E-3,2.6400001,,,,,-99.884793162E-3,760.000050068E-3,,,,,-99.884793162E-3,600.000023842E-3,,,,,-99.884793162E-3,2.6800003,,,,,-99.884793162E-3,2.5200002,
,,,-99.846392870E-3,1.0800000,,,,,-99.846392870E-3,1.1600001,,,,,-99.846392870E-3,2.4800003,,,,,-99.846392870E-3,2.6400001,,,,,-99.846392870E-3,520.000040531E-3,,,,,-99.846392870E-3,600.000023842E-3,,,,,-99.846392870E-3,2.4400001,,,,,-99.846392870E-3,2.5200002,
,,,-99.807992578E-3,1.2400001,,,,,-99.807992578E-3,1.1600001,,,,,-99.807992578E-3,2.72000027,,,,,-99.807992578E-3,2.6400001,,,,,-99.807992578E-3,760.000050068E-3,,,,,-99.807992578E-3,600.000023842E-3,,,,,-99.807992578E-3,2.6800003,,,,,-99.807992578E-3,2.6000001,
Source,Glitch Capture CH1,,-99.769584835E-3,1.0800000,,Source,Sample CH1,,-99.769584835E-3,1.1600001,,Source,Glitch Capture CH2,,-99.769584835E-3,2.4800003,,Source,Sample CH2,,-99.769584835E-3,2.6400001,,Source,Glitch Capture CH3,,-99.769584835E-3,520.000040531E-3,,Source,Sample CH3,,-99.769584835E-3,600.000023842E-3,,Source,Glitch Capture CH4,,-99.769584835E-3,2.4400001,,Source,Sample CH4,,-99.769584835E-3,2.5200002,
Vertical Units,V,,-99.731184542E-3,1.2400001,,Vertical Units,V,,-99.731184542E-3,1.1600001,,Vertical Units,V,,-99.731184542E-3,2.72000027,,Vertical Units,V,,-99.731184542E-3,2.6400001,,Vertical Units,V,,-99.731184542E-3,760.000050068E-3,,Vertical Units,V,,-99.731184542E-3,600.000023842E-3,,Vertical Units,V,,-99.731184542E-3,2.6800003,,Vertical Units,V,,-99.731184542E-3,2.5200002,
Vertical Scale,2.0000001,,-99.692784250E-3,1.0800000,,Vertical Scale,2.0000001,,-99.692784250E-3,1.2400001,,Vertical Scale,2.0000001,,-99.692784250E-3,2.4800003,,Vertical Scale,2.0000001,,-99.692784250E-3,2.6400001,,Vertical Scale,2.0000001,,-99.692784250E-3,520.000040531E-3,,Vertical Scale,2.0000001,,-99.692784250E-3,600.000023842E-3,,Vertical Scale,2.0000001,,-99.692784250E-3,2.4400001,,Vertical Scale,2.0000001,,-99.692784250E-3,2.5200002,
Vertical Offset,0,,-99.654376507E-3,1.3200001,,Vertical Offset,0,,-99.654376507E-3,1.1600001,,Vertical Offset,0,,-99.654376507E-3,2.72000027,,Vertical Offset,0,,-99.654376507E-3,2.6400001,,Vertical Offset,0,,-99.654376507E-3,760.000050068E-3,,Vertical Offset,0,,-99.654376507E-3,680.000066757E-3,,Vertical Offset,0,,-99.654376507E-3,2.6800003,,Vertical Offset,0,,-99.654376507E-3,2.5200002,
